technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.87566292,1,0,1.531884996938894
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.9996297,1,0,0.0357182155258642
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.41587424,0,1,0.994781437205526
BareHandIntenSelect,0.14,0.75,0.3,FP1,3.20801616,1,0,0.2853529163967114
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.66687548,0,0,0.0460044921147507
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.12502444,1,0,0.6961991014242717
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.65232778,1,0,0.2724843845893818
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.403036,1,0,0.747106356739215
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.55612051,0,0,0.0867500437630356
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.12479722,1,0,0.850718180875794
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.592991,1,0,0.9494770464074112
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.79298031,1,0,0.0626895178340214
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.207596,1,0,0.1891555052804971
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.73613513,0,1,0.7373435627977266
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.500537336,1,0,0.38186694424855
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.02828825,0,0,0.2787816676836682
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.08439255,1,0,0.2245254808508011
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.9442136,1,0,0.4642600797628014
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.8755873,1,0,0.0893589729726053
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.776784,0,0,0.1209658568736086
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.6930968,1,0,1.2656762869607177
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.85811138,1,0,0.500564348317738
BareHandIntenSelect,0.14,0.75,0.3,FP1,2.55738044,1,0,0.3629264119682399
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.55565619,0,1,0.3948615724768047
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.49983415,1,0,0.4623094647263946
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.7776912,0,1,0.5518071865511432
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.7366353,1,0,0.257472644308474
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.180243,0,1,1.5444116855474113
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.818980336,1,0,0.411929637239751
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.66698039,0,1,1.8448187776379148
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.680452943,0,1,0.5702834613043551
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.43047833,1,0,0.2692355651815509
BareHandIntenSelect,0.14,0.75,0.3,FP1,1.56951332,1,0,0.3040604874922328
BareHandIntenSelect,0.14,0.75,0.3,FP1,0.764392436,1,0,0.3343755917160577
BareHandIntenSelect,0.14,0.75,0.3,FP10,2.68134713,0,1,0.1571092985862232
BareHandIntenSelect,0.14,0.75,0.3,FP10,1.19575548,0,1,0.5652774260725472
BareHandIntenSelect,0.14,0.75,0.3,FP10,2.05473375,1,0,0.6317379610347771
BareHandIntenSelect,0.14,0.75,0.3,FP10,1.54983449,1,0,1.2091136744349231
BareHandIntenSelect,0.14,0.75,0.3,FP10,1.84780729,1,0,0.1778259855847704
BareHandIntenSelect,0.14,0.75,0.3,FP10,1.4307754,0,1,0.0491782348205561
BareHandIntenSelect,0.14,0.75,0.3,FP10,1.51416814,1,0,0.3040560499204774
BareHandIntenSelect,0.14,0.75,0.3,FP10,1.44439721,1,0,0.146022588618205
BareHandIntenSelect,0.14,0.75,0.3,FP10,1.30579817,0,1,0.9168487241484722
