technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.727982163,1,0,0.38243627153403
BareHandIntenSelect,0.07,0.75,0.3,FP10,2.04027057,1,0,0.18223071348064965
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.98571968,1,0,0.3104054935286299
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.23346138,0,1,0.37962177663179597
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.8900702,0,1,0.5043952906535145
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.04216778,0,0,0.1604181345768775
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.584785163,1,0,0.04963068204192514
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.98754609,1,0,0.5106187062209444
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.54203272,0,1,1.1033933160849159
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.7915889,0,1,0.37641585689263024
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.5687996,0,1,0.869020803326055
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.4032386,1,0,0.14762907424236357
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.00037968,1,0,0.15257384672529983
BareHandIntenSelect,0.07,0.75,0.3,FP10,2.372557,1,0,0.3402975435147839
BareHandIntenSelect,0.07,0.75,0.3,FP10,3.334378,0,1,0.7221884188150155
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.4999993,1,0,0.23300411493887876
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.069633,1,0,0.31387204308708133
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.09645963,0,0,0.5185465842634649
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.959331334,1,0,0.16867369222832673
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.27719021,1,0,0.41829057633373173
BareHandIntenSelect,0.07,0.75,0.3,FP10,4.889026,0,0,0.10544711247082447
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.36096621,1,0,0.2789315683915429
BareHandIntenSelect,0.07,0.75,0.3,FP11,2.97004151,1,0,1.3543004462091583
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.7083462,0,1,0.47987881862903636
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.527809441,1,0,0.2523377437040781
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.805265844,1,0,0.4357351271992892
BareHandIntenSelect,0.07,0.75,0.3,FP11,3.40384364,1,0,0.13163089291006833
BareHandIntenSelect,0.07,0.75,0.3,FP11,1.45882773,1,0,0.3302339736930947
BareHandIntenSelect,0.07,0.75,0.3,FP11,3.40309334,0,1,1.121709836996109
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.958139956,1,0,1.1033113137845725
BareHandIntenSelect,0.07,0.75,0.3,FP11,2.010926,1,0,0.5423642545309929
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.7646992,0,1,0.4179126342470551
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.458286434,1,0,0.42228163140088715
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.7500379,1,0,0.2145027402642807
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.7915656,0,0,0.1961877348313256
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.4449378,0,0,0.3844170666970389
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.9848704,1,0,0.05621408695641723
BareHandIntenSelect,0.07,0.75,0.3,FP11,1.29159749,1,0,1.2993109420534528
BareHandIntenSelect,0.07,0.75,0.3,FP11,1.32217228,1,0,0.2633869738283706
BareHandIntenSelect,0.07,0.75,0.3,FP11,1.025203,1,0,0.43817896987553834
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.835241437,1,0,0.3463267347414612
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.6952064,1,0,0.27695042553577265
BareHandIntenSelect,0.07,0.75,0.3,FP11,1.33372,1,0,0.4042043936045255
BareHandIntenSelect,0.07,0.75,0.3,FP11,0.7921805,1,0,0.31911964360682554
BareHandIntenSelect,0.07,0.75,0.3,FP11,2.208114,1,0,0.274636837821459
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.03054166,1,0,0.5591424372484446
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.307154,0,0,0.2495316360116157
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.70802021,1,0,0.1971138090655591
BareHandIntenSelect,0.07,0.75,0.3,FP2,3.61094213,1,0,0.07172395023191183
BareHandIntenSelect,0.07,0.75,0.3,FP2,3.4027102,1,0,0.7270695787365382
BareHandIntenSelect,0.07,0.75,0.3,FP2,3.75020027,1,0,0.9897170487324872
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.418086,1,0,0.39092476028618184
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.778557,0,1,1.1421653258065085
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.04180884,0,1,0.6475552171543124
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.49997854,1,0,0.6201993888409157
BareHandIntenSelect,0.07,0.75,0.3,FP2,3.90252471,1,0,0.10699217622401443
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.83332682,0,0,0.6371228419328548
BareHandIntenSelect,0.07,0.75,0.3,FP2,3.342037,1,0,0.5289236652885105
BareHandIntenSelect,0.07,0.75,0.3,FP2,0.7641122,1,0,0.407337780946554
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.06944919,0,1,0.36280533684768745
BareHandIntenSelect,0.07,0.75,0.3,FP2,0.7778866,1,0,0.10083238785955433
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.34763181,0,1,0.28497777540296204
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.67829275,0,1,0.2666219567095635
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.3892709,1,0,1.6943789970960208
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.11098266,1,0,0.21242637570235476
BareHandIntenSelect,0.07,0.75,0.3,FP2,0.611954331,1,0,0.19783703179749357
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.84687781,1,0,0.3772839910416564
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.54392886,1,0,0.2739287264822191
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.8340168,1,0,0.08502332906982056
BareHandIntenSelect,0.07,0.75,0.3,FP2,0.805660963,1,0,0.3200157280147375
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.8348949,1,0,0.1112430112711179
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.68020153,0,1,0.20561513113693083
BareHandIntenSelect,0.07,0.75,0.3,FP2,0.708332241,1,0,0.15192784992480107
BareHandIntenSelect,0.07,0.75,0.3,FP2,2.68069839,1,0,0.07619730268457846
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.79027414,1,0,1.6563918280479484
BareHandIntenSelect,0.07,0.75,0.3,FP2,1.1525588,1,0,0.2486176784295426
BareHandIntenSelect,0.07,0.75,0.3,FP3,4.39769936,1,0,0.019334537408139625
BareHandIntenSelect,0.07,0.75,0.3,FP3,3.01430321,1,0,0.13901009155924854
