technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
BareHandTracking,0.07,0.75,0.3,FP1,2.562327245733333,0.5333333333333333,0.4666666666666667,0.3694943265800811
BareHandTracking,0.07,0.75,0.3,FP1,1.7477634578000003,0.4,0.5,0.4866747627402455
BareHandTracking,0.07,0.75,0.3,FP1,3.565098677772727,0.3636363636363636,0.4090909090909091,1.0865291987738284
BareHandTracking,0.07,0.75,0.3,FP10,0.6530368905,0.2142857142857142,0.3214285714285714,0.7064439060350848
BareHandTracking,0.07,0.75,0.3,FP10,0.9155851743125,0.375,0.25,0.3740356561807942
BareHandTracking,0.07,0.75,0.3,FP10,1.0680114255294115,0.3529411764705882,0.2352941176470588,0.8836105761980617
BareHandTracking,0.07,0.75,0.3,FP11,1.5111989702,0.4,0.6,0.3780632618002701
BareHandTracking,0.07,0.75,0.3,FP11,2.6570852669375,0.375,0.625,0.4826073849699878
BareHandTracking,0.07,0.75,0.3,FP11,1.7085871025,0.75,0.25,0.1898949814566968
BareHandTracking,0.07,0.75,0.3,FP12,1.6588172,0.5,0.1666666666666666,0.4297502866539172
BareHandTracking,0.07,0.75,0.3,FP12,1.898870566636364,0.5454545454545454,0.0909090909090909,0.684256677624358
BareHandTracking,0.07,0.75,0.3,FP12,2.8472592785625,0.375,0.4375,0.5857143567840943
BareHandTracking,0.07,0.75,0.3,FP13,1.4666097264,0.4,0.2666666666666666,0.2987431982137203
BareHandTracking,0.07,0.75,0.3,FP13,0.8677196732857144,0.4285714285714285,0.2142857142857142,0.5504428811618409
BareHandTracking,0.07,0.75,0.3,FP13,2.2328749208333334,0.5,0.25,0.3142628533102293
BareHandTracking,0.07,0.75,0.3,FP14,0.8559371981666669,0.25,0.3333333333333333,0.4476769102269521
BareHandTracking,0.07,0.75,0.3,FP14,1.378498705533333,0.4,0.0666666666666666,0.6287169611745244
BareHandTracking,0.07,0.75,0.3,FP14,1.3586854276363636,0.2727272727272727,0.5909090909090909,0.5593130790223261
BareHandTracking,0.07,0.75,0.3,FP15,1.1119987759090912,0.5454545454545454,0.3636363636363636,0.6137732889059291
BareHandTracking,0.07,0.75,0.3,FP15,1.5912641369999998,0.8571428571428571,0.1428571428571428,0.3043961195675345
BareHandTracking,0.07,0.75,0.3,FP15,1.3783720091111111,0.3333333333333333,0.6111111111111112,0.6145204533220029
BareHandTracking,0.07,0.75,0.3,FP16,2.63056911435,0.3,0.5,0.4987694533374259
BareHandTracking,0.07,0.75,0.3,FP16,2.989023926,0.6666666666666666,0.2222222222222222,0.3282560149703379
BareHandTracking,0.07,0.75,0.3,FP16,1.658890916307692,0.4615384615384615,0.4615384615384615,0.4803266637003429
BareHandTracking,0.07,0.75,0.3,FP17,4.635062854545454,0.5454545454545454,0.3636363636363636,0.6352141637064741
BareHandTracking,0.07,0.75,0.3,FP17,4.034697464416666,0.5,0.3333333333333333,0.4345175362798074
BareHandTracking,0.07,0.75,0.3,FP17,2.1201883867142857,0.4285714285714285,0.4285714285714285,0.6665134202047707
BareHandTracking,0.07,0.75,0.3,FP18,1.3737732493333334,0.5,0.3333333333333333,0.4321660416608413
BareHandTracking,0.07,0.75,0.3,FP18,1.1685141862222224,0.6666666666666666,0.1111111111111111,0.4423226955436916
BareHandTracking,0.07,0.75,0.3,FP18,2.1511516647647064,0.3529411764705882,0.4117647058823529,0.7928235155426079
BareHandTracking,0.07,0.75,0.3,FP19,1.756445899473684,0.3157894736842105,0.4736842105263157,0.6130800283271883
BareHandTracking,0.07,0.75,0.3,FP19,1.6841555851666667,0.3333333333333333,0.5555555555555556,0.5632286018815138
