technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.8602458,1,0,0.3263179009857501
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.41743493,1,0,0.9612261238087902
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.9790201,0,1,0.1263723490391491
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.5272833,0,1,0.0538257844294339
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.458561778,1,0,0.0515333621590911
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.805944264,0,1,2.939147142851556
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.12702775,1,0,0.0638471953310588
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.8754427,0,1,1.5536129574910582
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.6669978,1,0,0.1890385674555095
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.666806,1,0,0.5017812557752761
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.667623,1,0,1.4278693941813236
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.6533367,1,0,0.7613942383147719
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.736425638,0,1,0.1668025861447652
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.5292253,0,0,0.1888334910069653
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.5151387,1,0,0.1011677541737826
BareHandIntenSelect,0.21,0.75,0.3,FP10,4.612251,1,0,0.2299718576675286
BareHandIntenSelect,0.21,0.75,0.3,FP10,2.37461448,1,0,0.2961669903579342
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.82064319,1,0,0.6592900859049008
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.68072557,0,1,0.5116790079907473
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.5282216,1,0,0.0901865347423862
BareHandIntenSelect,0.21,0.75,0.3,FP10,3.25082731,1,0,1.660300216735259
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.48428011,0,1,2.298453108058036
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.7365321,1,0,0.3510583616316391
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.264967,1,0,0.2541913800383809
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.861684561,1,0,0.2966639413558079
BareHandIntenSelect,0.21,0.75,0.3,FP11,3.00033641,1,0,0.109780604186213
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.6668939,0,1,0.2680666228030535
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.05488193,1,0,0.485227728142506
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.20827758,1,0,0.1955298159162509
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.31438041,1,0,0.4341566328990168
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.01523471,0,1,0.3124713760923299
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.945561945,1,0,0.6672249797751673
BareHandIntenSelect,0.21,0.75,0.3,FP11,2.93086076,1,0,0.3327717073524691
BareHandIntenSelect,0.21,0.75,0.3,FP11,2.08328843,0,0,0.6882003940369552
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.06923,0,0,0.5784688023901317
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.05611837,1,0,0.3876342270414488
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.083587,0,1,0.7795209338398568
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.70764828,1,0,0.1909530010994852
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.985202551,0,1,0.820611078515064
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.8194496,1,0,0.265543192379231
BareHandIntenSelect,0.21,0.75,0.3,FP11,2.22960663,0,0,0.2037897699086661
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.5283445,1,0,0.330406897200636
